Finished,id,age,age_bin,MTurk_ID,group_id,zip,president,attention,effort,cCases_1_conf,cCases_2_conf,cCases_3_conf,aCases_1_conf,aCases_2_conf,aCases_3_conf,deaths_1_conf,deaths_2_conf,deaths_3_conf,rt,past_social_iso_1,futur_social_iso_1,time_to_stop_dist,lb,decrease,outcome,day,estimate,confidence
1,2,21,young,A1D2ZSPIHOI23K,ta,8901,trump,6,3,78,81,72,27,50,46,28,61,64,92.145,55,24,1,96968,FALSE,cCases,1,100000,78
1,2,21,young,A1D2ZSPIHOI23K,ta,8901,trump,6,3,78,81,72,27,50,46,28,61,64,92.145,55,24,1,96968,FALSE,cCases,2,125000,81
1,2,21,young,A1D2ZSPIHOI23K,ta,8901,trump,6,3,78,81,72,27,50,46,28,61,64,92.145,55,24,1,96968,FALSE,cCases,3,200000,72
1,2,21,young,A1D2ZSPIHOI23K,ta,8901,trump,6,3,78,81,72,27,50,46,28,61,64,92.145,55,24,1,96968,FALSE,aCases,1,20000,27
1,2,21,young,A1D2ZSPIHOI23K,ta,8901,trump,6,3,78,81,72,27,50,46,28,61,64,92.145,55,24,1,96968,FALSE,aCases,2,50000,50
1,2,21,young,A1D2ZSPIHOI23K,ta,8901,trump,6,3,78,81,72,27,50,46,28,61,64,92.145,55,24,1,96968,FALSE,aCases,3,60000,46
1,2,21,young,A1D2ZSPIHOI23K,ta,8901,trump,6,3,78,81,72,27,50,46,28,61,64,92.145,55,24,1,96968,FALSE,deaths,1,1400,28
1,2,21,young,A1D2ZSPIHOI23K,ta,8901,trump,6,3,78,81,72,27,50,46,28,61,64,92.145,55,24,1,96968,FALSE,deaths,2,1800,61
1,2,21,young,A1D2ZSPIHOI23K,ta,8901,trump,6,3,78,81,72,27,50,46,28,61,64,92.145,55,24,1,96968,FALSE,deaths,3,2000,64
1,4,30,middle,A2ZAWWRQSERM7M,ta,71351,Donald Trump,6,7,13,3,19,21,32,32,4,2,2,51.084,18,19,7,96968,TRUE,cCases,1,2,13
1,4,30,middle,A2ZAWWRQSERM7M,ta,71351,Donald Trump,6,7,13,3,19,21,32,32,4,2,2,51.084,18,19,7,96968,TRUE,cCases,2,3,3
1,4,30,middle,A2ZAWWRQSERM7M,ta,71351,Donald Trump,6,7,13,3,19,21,32,32,4,2,2,51.084,18,19,7,96968,TRUE,cCases,3,2,19
1,4,30,middle,A2ZAWWRQSERM7M,ta,71351,Donald Trump,6,7,13,3,19,21,32,32,4,2,2,51.084,18,19,7,96968,TRUE,aCases,1,21,21
1,4,30,middle,A2ZAWWRQSERM7M,ta,71351,Donald Trump,6,7,13,3,19,21,32,32,4,2,2,51.084,18,19,7,96968,TRUE,aCases,2,32,32
1,4,30,middle,A2ZAWWRQSERM7M,ta,71351,Donald Trump,6,7,13,3,19,21,32,32,4,2,2,51.084,18,19,7,96968,TRUE,aCases,3,32,32
1,4,30,middle,A2ZAWWRQSERM7M,ta,71351,Donald Trump,6,7,13,3,19,21,32,32,4,2,2,51.084,18,19,7,96968,TRUE,deaths,1,3,4
1,4,30,middle,A2ZAWWRQSERM7M,ta,71351,Donald Trump,6,7,13,3,19,21,32,32,4,2,2,51.084,18,19,7,96968,TRUE,deaths,2,3,2
1,4,30,middle,A2ZAWWRQSERM7M,ta,71351,Donald Trump,6,7,13,3,19,21,32,32,4,2,2,51.084,18,19,7,96968,TRUE,deaths,3,1,2
1,5,43,middle,AUDH0P4ZHJKS2,g,78751,Trump,6,10,9,10,11,5,5,6,3,3,5,81.875,100,100,7,96968,FALSE,cCases,1,300000,9
1,5,43,middle,AUDH0P4ZHJKS2,g,78751,Trump,6,10,9,10,11,5,5,6,3,3,5,81.875,100,100,7,96968,FALSE,cCases,2,600000,10
1,5,43,middle,AUDH0P4ZHJKS2,g,78751,Trump,6,10,9,10,11,5,5,6,3,3,5,81.875,100,100,7,96968,FALSE,cCases,3,1200000,11
1,5,43,middle,AUDH0P4ZHJKS2,g,78751,Trump,6,10,9,10,11,5,5,6,3,3,5,81.875,100,100,7,96968,FALSE,aCases,1,1000000,5
1,5,43,middle,AUDH0P4ZHJKS2,g,78751,Trump,6,10,9,10,11,5,5,6,3,3,5,81.875,100,100,7,96968,FALSE,aCases,2,2000000,5
1,5,43,middle,AUDH0P4ZHJKS2,g,78751,Trump,6,10,9,10,11,5,5,6,3,3,5,81.875,100,100,7,96968,FALSE,aCases,3,4000000,6
1,5,43,middle,AUDH0P4ZHJKS2,g,78751,Trump,6,10,9,10,11,5,5,6,3,3,5,81.875,100,100,7,96968,FALSE,deaths,1,2500,3
1,5,43,middle,AUDH0P4ZHJKS2,g,78751,Trump,6,10,9,10,11,5,5,6,3,3,5,81.875,100,100,7,96968,FALSE,deaths,2,3500,3
1,5,43,middle,AUDH0P4ZHJKS2,g,78751,Trump,6,10,9,10,11,5,5,6,3,3,5,81.875,100,100,7,96968,FALSE,deaths,3,5000,5
1,7,29,young,AOG0PUCLMU0HH,g,77064,donald trump,6,10,61,60,63,56,55,56,57,56,57,109.027,54,55,5,96968,TRUE,cCases,1,300,61
