Finished,id,age,age_bin,MTurk_ID,group_id,zip,president,attention,effort,cCases_1_conf,cCases_2_conf,cCases_3_conf,aCases_1_conf,aCases_2_conf,aCases_3_conf,deaths_1_conf,deaths_2_conf,deaths_3_conf,rt,new,past_social_iso_1,futur_social_iso_1,time_to_stop_dist,lb,decrease,outcome,day,estimate,confidence
1,1,36,middle,A2T5CROJ0FWIJY,ta,48094,Donald Trump,6,10,40,30,25,20,10,10,45,20,10,112.326,1,100,100,4,393782,FALSE,cCases,1,500000,40
1,1,36,middle,A2T5CROJ0FWIJY,ta,48094,Donald Trump,6,10,40,30,25,20,10,10,45,20,10,112.326,1,100,100,4,393782,FALSE,cCases,2,750000,30
1,1,36,middle,A2T5CROJ0FWIJY,ta,48094,Donald Trump,6,10,40,30,25,20,10,10,45,20,10,112.326,1,100,100,4,393782,FALSE,cCases,3,1000000,25
1,1,36,middle,A2T5CROJ0FWIJY,ta,48094,Donald Trump,6,10,40,30,25,20,10,10,45,20,10,112.326,1,100,100,4,393782,FALSE,aCases,1,1000000,20
1,1,36,middle,A2T5CROJ0FWIJY,ta,48094,Donald Trump,6,10,40,30,25,20,10,10,45,20,10,112.326,1,100,100,4,393782,FALSE,aCases,2,1500000,10
1,1,36,middle,A2T5CROJ0FWIJY,ta,48094,Donald Trump,6,10,40,30,25,20,10,10,45,20,10,112.326,1,100,100,4,393782,FALSE,aCases,3,3000000,10
1,1,36,middle,A2T5CROJ0FWIJY,ta,48094,Donald Trump,6,10,40,30,25,20,10,10,45,20,10,112.326,1,100,100,4,393782,FALSE,deaths,1,20000,45
1,1,36,middle,A2T5CROJ0FWIJY,ta,48094,Donald Trump,6,10,40,30,25,20,10,10,45,20,10,112.326,1,100,100,4,393782,FALSE,deaths,2,40000,20
1,1,36,middle,A2T5CROJ0FWIJY,ta,48094,Donald Trump,6,10,40,30,25,20,10,10,45,20,10,112.326,1,100,100,4,393782,FALSE,deaths,3,70000,10
1,2,21,young,A1DSTGIYWHCVJM,ta,35023,Donald Trump,6,10,97,77,53,91,80,57,91,78,52,88.935,1,97,98,5,393782,FALSE,cCases,1,450500,97
1,2,21,young,A1DSTGIYWHCVJM,ta,35023,Donald Trump,6,10,97,77,53,91,80,57,91,78,52,88.935,1,97,98,5,393782,FALSE,cCases,2,600000,77
1,2,21,young,A1DSTGIYWHCVJM,ta,35023,Donald Trump,6,10,97,77,53,91,80,57,91,78,52,88.935,1,97,98,5,393782,FALSE,cCases,3,730000,53
1,2,21,young,A1DSTGIYWHCVJM,ta,35023,Donald Trump,6,10,97,77,53,91,80,57,91,78,52,88.935,1,97,98,5,393782,FALSE,aCases,1,390000,91
1,2,21,young,A1DSTGIYWHCVJM,ta,35023,Donald Trump,6,10,97,77,53,91,80,57,91,78,52,88.935,1,97,98,5,393782,FALSE,aCases,2,450000,80
1,2,21,young,A1DSTGIYWHCVJM,ta,35023,Donald Trump,6,10,97,77,53,91,80,57,91,78,52,88.935,1,97,98,5,393782,FALSE,aCases,3,530000,57
1,2,21,young,A1DSTGIYWHCVJM,ta,35023,Donald Trump,6,10,97,77,53,91,80,57,91,78,52,88.935,1,97,98,5,393782,FALSE,deaths,1,16000,91
1,2,21,young,A1DSTGIYWHCVJM,ta,35023,Donald Trump,6,10,97,77,53,91,80,57,91,78,52,88.935,1,97,98,5,393782,FALSE,deaths,2,21000,78
1,2,21,young,A1DSTGIYWHCVJM,ta,35023,Donald Trump,6,10,97,77,53,91,80,57,91,78,52,88.935,1,97,98,5,393782,FALSE,deaths,3,28000,52
1,4,57,middle,A2VUQ9RX3JS1SR,ta,19422,Donald Trump,6,8,39,58,56,65,53,56,56,53,57,107.425,1,71,66,5,393782,FALSE,cCases,1,500000,39
1,4,57,middle,A2VUQ9RX3JS1SR,ta,19422,Donald Trump,6,8,39,58,56,65,53,56,56,53,57,107.425,1,71,66,5,393782,FALSE,cCases,2,640000,58
1,4,57,middle,A2VUQ9RX3JS1SR,ta,19422,Donald Trump,6,8,39,58,56,65,53,56,56,53,57,107.425,1,71,66,5,393782,FALSE,cCases,3,750000,56
1,4,57,middle,A2VUQ9RX3JS1SR,ta,19422,Donald Trump,6,8,39,58,56,65,53,56,56,53,57,107.425,1,71,66,5,393782,FALSE,aCases,1,490000,65
1,4,57,middle,A2VUQ9RX3JS1SR,ta,19422,Donald Trump,6,8,39,58,56,65,53,56,56,53,57,107.425,1,71,66,5,393782,FALSE,aCases,2,640000,53
1,4,57,middle,A2VUQ9RX3JS1SR,ta,19422,Donald Trump,6,8,39,58,56,65,53,56,56,53,57,107.425,1,71,66,5,393782,FALSE,aCases,3,740000,56
1,4,57,middle,A2VUQ9RX3JS1SR,ta,19422,Donald Trump,6,8,39,58,56,65,53,56,56,53,57,107.425,1,71,66,5,393782,FALSE,deaths,1,13000,56
1,4,57,middle,A2VUQ9RX3JS1SR,ta,19422,Donald Trump,6,8,39,58,56,65,53,56,56,53,57,107.425,1,71,66,5,393782,FALSE,deaths,2,15000,53
1,4,57,middle,A2VUQ9RX3JS1SR,ta,19422,Donald Trump,6,8,39,58,56,65,53,56,56,53,57,107.425,1,71,66,5,393782,FALSE,deaths,3,15500,57
1,5,39,middle,A1PTX4IB9R34LI,g,93304,trump,4,10,79,79,80,79,76,75,76,79,78,129.879,1,100,100,7,393782,FALSE,cCases,1,4000000,79
1,5,39,middle,A1PTX4IB9R34LI,g,93304,trump,4,10,79,79,80,79,76,75,76,79,78,129.879,1,100,100,7,393782,FALSE,cCases,2,4150000,79
1,5,39,middle,A1PTX4IB9R34LI,g,93304,trump,4,10,79,79,80,79,76,75,76,79,78,129.879,1,100,100,7,393782,FALSE,cCases,3,4500000,80
1,5,39,middle,A1PTX4IB9R34LI,g,93304,trump,4,10,79,79,80,79,76,75,76,79,78,129.879,1,100,100,7,393782,FALSE,aCases,1,400000,79
1,5,39,middle,A1PTX4IB9R34LI,g,93304,trump,4,10,79,79,80,79,76,75,76,79,78,129.879,1,100,100,7,393782,FALSE,aCases,2,415000,76
1,5,39,middle,A1PTX4IB9R34LI,g,93304,trump,4,10,79,79,80,79,76,75,76,79,78,129.879,1,100,100,7,393782,FALSE,aCases,3,450000,75
1,5,39,middle,A1PTX4IB9R34LI,g,93304,trump,4,10,79,79,80,79,76,75,76,79,78,129.879,1,100,100,7,393782,FALSE,deaths,1,400000,76
1,5,39,middle,A1PTX4IB9R34LI,g,93304,trump,4,10,79,79,80,79,76,75,76,79,78,129.879,1,100,100,7,393782,FALSE,deaths,2,415000,79
1,5,39,middle,A1PTX4IB9R34LI,g,93304,trump,4,10,79,79,80,79,76,75,76,79,78,129.879,1,100,100,7,393782,FALSE,deaths,3,450000,78
1,6,37,middle,A2074VMS950Q3V,ta,20146,TRUMP,6,7,52,44,61,49,53,58,51,34,48,105.834,1,58,63,4,393782,TRUE,cCases,1,358,52
1,6,37,middle,A2074VMS950Q3V,ta,20146,TRUMP,6,7,52,44,61,49,53,58,51,34,48,105.834,1,58,63,4,393782,TRUE,cCases,2,1200,44
1,6,37,middle,A2074VMS950Q3V,ta,20146,TRUMP,6,7,52,44,61,49,53,58,51,34,48,105.834,1,58,63,4,393782,TRUE,cCases,3,4000,61
1,6,37,middle,A2074VMS950Q3V,ta,20146,TRUMP,6,7,52,44,61,49,53,58,51,34,48,105.834,1,58,63,4,393782,TRUE,aCases,1,58,49
1,6,37,middle,A2074VMS950Q3V,ta,20146,TRUMP,6,7,52,44,61,49,53,58,51,34,48,105.834,1,58,63,4,393782,TRUE,aCases,2,267,53
1,6,37,middle,A2074VMS950Q3V,ta,20146,TRUMP,6,7,52,44,61,49,53,58,51,34,48,105.834,1,58,63,4,393782,TRUE,aCases,3,674,58
1,6,37,middle,A2074VMS950Q3V,ta,20146,TRUMP,6,7,52,44,61,49,53,58,51,34,48,105.834,1,58,63,4,393782,TRUE,deaths,1,50,51
1,6,37,middle,A2074VMS950Q3V,ta,20146,TRUMP,6,7,52,44,61,49,53,58,51,34,48,105.834,1,58,63,4,393782,TRUE,deaths,2,78,34
1,6,37,middle,A2074VMS950Q3V,ta,20146,TRUMP,6,7,52,44,61,49,53,58,51,34,48,105.834,1,58,63,4,393782,TRUE,deaths,3,150,48
1,7,22,young,A3MUG02LJ4BM9F,ta,21075,trump,6,1,32,38,34,32,31,31,26,28,28,41.73,1,30,43,1,393782,TRUE,cCases,1,30000,32
1,7,22,young,A3MUG02LJ4BM9F,ta,21075,trump,6,1,32,38,34,32,31,31,26,28,28,41.73,1,30,43,1,393782,TRUE,cCases,2,500000,38
1,7,22,young,A3MUG02LJ4BM9F,ta,21075,trump,6,1,32,38,34,32,31,31,26,28,28,41.73,1,30,43,1,393782,TRUE,cCases,3,1000000,34
1,7,22,young,A3MUG02LJ4BM9F,ta,21075,trump,6,1,32,38,34,32,31,31,26,28,28,41.73,1,30,43,1,393782,TRUE,aCases,1,300000,32
1,7,22,young,A3MUG02LJ4BM9F,ta,21075,trump,6,1,32,38,34,32,31,31,26,28,28,41.73,1,30,43,1,393782,TRUE,aCases,2,400000,31
1,7,22,young,A3MUG02LJ4BM9F,ta,21075,trump,6,1,32,38,34,32,31,31,26,28,28,41.73,1,30,43,1,393782,TRUE,aCases,3,4000000,31
1,7,22,young,A3MUG02LJ4BM9F,ta,21075,trump,6,1,32,38,34,32,31,31,26,28,28,41.73,1,30,43,1,393782,TRUE,deaths,1,40000,26
1,7,22,young,A3MUG02LJ4BM9F,ta,21075,trump,6,1,32,38,34,32,31,31,26,28,28,41.73,1,30,43,1,393782,TRUE,deaths,2,50000,28
1,7,22,young,A3MUG02LJ4BM9F,ta,21075,trump,6,1,32,38,34,32,31,31,26,28,28,41.73,1,30,43,1,393782,TRUE,deaths,3,300000,28
1,8,25,young,A24E737D0977EH,g,22406,Donald Trump,6,9,26,26,33,41,42,42,35,47,50,105.901,1,31,23,6,393782,FALSE,cCases,1,435000,26
1,8,25,young,A24E737D0977EH,g,22406,Donald Trump,6,9,26,26,33,41,42,42,35,47,50,105.901,1,31,23,6,393782,FALSE,cCases,2,578000,26
1,8,25,young,A24E737D0977EH,g,22406,Donald Trump,6,9,26,26,33,41,42,42,35,47,50,105.901,1,31,23,6,393782,FALSE,cCases,3,789000,33
1,8,25,young,A24E737D0977EH,g,22406,Donald Trump,6,9,26,26,33,41,42,42,35,47,50,105.901,1,31,23,6,393782,FALSE,aCases,1,508000,41
1,8,25,young,A24E737D0977EH,g,22406,Donald Trump,6,9,26,26,33,41,42,42,35,47,50,105.901,1,31,23,6,393782,FALSE,aCases,2,709000,42
1,8,25,young,A24E737D0977EH,g,22406,Donald Trump,6,9,26,26,33,41,42,42,35,47,50,105.901,1,31,23,6,393782,FALSE,aCases,3,928000,42
