income_down_1,optimism_1,essential_worker,total_time,news,fox,attention,effort,id,age,age_bin,MTurk_ID,group_id,cCases_1_est_g,cCases_2_est_g,cCases_3_est_g,cCases_1_conf_g,cCases_2_conf_g,cCases_3_conf_g,aCases_1_est_g,aCases_2_est_g,aCases_3_est_g,aCases_1_conf_g,aCases_2_conf_g,aCases_3_conf_g,deaths_1_est_g,deaths_2_est_g,deaths_3_est_g,deaths_1_conf_g,deaths_2_conf_g,deaths_3_conf_g,cCases_1_est_ta,cCases_2_est_ta,cCases_3_est_ta,cCases_1_conf_ta,cCases_2_conf_ta,cCases_3_conf_ta,aCases_1_est_ta,aCases_2_est_ta,aCases_3_est_ta,aCases_1_conf_ta,aCases_2_conf_ta,aCases_3_conf_ta,deaths_1_est_ta,deaths_2_est_ta,deaths_3_est_ta,deaths_1_conf_ta,deaths_2_conf_ta,deaths_3_conf_ta,rt_t,rt_g,rt_ta,prob_of_case,prob_of_hosp,prob_of_death,zip,Gender,gen_health,gen_anxiety,president,edu,edu_mom,start_en,prim_lng,num1,num2,num3,num4,num5,num6,num7,num8,num_mu,cons1,cons2,cons3,cons4,cons5,cons6,cons7,conserv_mu,know_someone,corona_news_1,corona_anxious_1,past_social_iso_1,futur_social_iso_1,risk1,risk2,risk3,risk4,risk5,risk6,risk_mu,time_to_stop_dist,max_new_cases,new,trump,Finished,cCases_1_est,cCases_2_est,cCases_3_est,aCases_1_est,aCases_2_est,aCases_3_est,deaths_1_est,deaths_2_est,deaths_3_est,og_n,new_n
11,4,1,319,12,0,6,10,1,35,middle,A39N2R47D03TZD,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400000,410000,420000,98,94,94,400000,410000,420000,99,96,96,45000,46000,47000,96,95,97,NA,NA,NA,6,9,9,85034,2,1,1,Donald Trump,6,5,2,English,0.5,0.5,-2.5,0.5,1.5,1.5,-1.5,1.5,0.25,-2,2,2,-2,-1,1,2,0.2857142857142857,0,96,73,9,94,1,-1,4,1,-0,-1,0.6666666666666666,7,100000,0,3,1,400000,410000,420000,400000,410000,420000,45000,46000,47000,175,117
10,4,2,546,12,0,6,10,2,29,young,A1UTBDKOQ2MKUD,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450000,600000,780000,78,56,38,450000,550000,620000,67,52,50,14500,17000,23000,74,64,59,NA,NA,NA,52,18,9,11209,2,1,1,Donald Trump,5,5,0,English,1.5,1.5,1.5,0.5,1.5,1.5,1.5,1.5,1.375,-1,-3,2,-2,-2,0,-2,-1.1428571428571428,1,87,59,23,25,-1,1,1,-1,-1,-1,-0.3333333333333333,7,5000,0,2,1,450000,600000,780000,450000,550000,620000,14500,17000,23000,175,117
10,4,2,381,10,0,6,10,4,57,middle,A2LMM3Y4MYE97S,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170000,250000,400000,61,49,36,510000,800000,1200000,71,51,34,16000,24000,65000,81,68,57,NA,NA,NA,5,1,0,53511,2,1,1,Donald Trump,3,2,1,English,-1.5,-0.5,2.5,1.5,2.5,2.5,2.5,2.5,1.5,-3,-4,4,4,-3,-4,-4,-1.4285714285714286,0,100,75,100,100,1,2,2,2,1,1,1.5,4,10000,0,1,1,170000,250000,400000,510000,800000,1200000,16000,24000,65000,175,117
70,3,1,860,12,0,6,9,6,28,young,A3LVO816U4WEEG,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425000,590000,650000,78,67,82,525000,705000,890000,77,68,69,14500,15900,17250,56,69,49,NA,NA,NA,65,33,24,80212,1,1,1,Donald trump,5,3,1,English,0.5,1.5,-0.5,0.5,1.5,1.5,0.5,0.5,0.75,2,-2,-1,1,-2,1,2,0.14285714285714285,1,79,43,56,71,2,1,-2,1,1,1,0.6666666666666666,5,1500,0,2,1,425000,590000,650000,525000,705000,890000,14500,15900,17250,175,117
70,5,2,881,6,0,6,8,7,31,middle,A368TMSNZC258J,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500000,650000,800000,70,81,85,50000,70000,90000,60,65,50,13000,13500,14500,69,61,55,NA,NA,NA,5,5,2,70113,1,1,1,Donald Trump,5,6,1 year,English,1.5,1.5,1.5,0.5,1.5,1.5,1.5,2.5,1.5,-3,-4,3,-1,-1,-3,2,-1,0,100,100,100,100,-2,-3,-3,-3,3,2,-1,6,1000000,0,3,1,500000,650000,800000,50000,70000,90000,13000,13500,14500,175,117
48,4,2,657,1,0,6,10,8,57,middle,A2X4VVIXBI0HFP,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500000,750000,1000000,11,12,9,750000,1000000,1250000,8,7,7,15000,18000,22000,10,9,8,NA,NA,NA,31,2,1,39042,1,1,1,Trump,3,5,0,English,-1.5,-1.5,2.5,2.5,0.5,-2.5,2.5,1.5,0.5,-2,-3,-1,1,-2,1,-2,-1.1428571428571428,0,72,72,98,99,-1,0,0,0,-0,-1,-0.3333333333333333,4,200000,0,1,1,500000,750000,1000000,750000,1000000,1250000,15000,18000,22000,175,117
40,5,1,946,12,0,6,10,9,35,middle,A2JCX1QC4PQLKN,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401242,408111,410020,75,84,76,399543,401300,404350,75,74,72,12803,13603,14040,75,79,77,NA,NA,NA,15,16,4,90201,2,1,1,Donald Trump,5,5,3,english,1.5,1.5,1.5,1.5,0.5,-1.5,-1.5,1.5,0.625,1,-1,2,-2,1,1,1,0.42857142857142855,0,83,74,52,56,0,1,1,1,-2,1,0.3333333333333333,6,2054,0,3,1,401242,408111,410020,399543,401300,404350,12803,13603,14040,175,117
81,4,1,588,12,0,6,8,10,52,middle,A3L7UGUUHMOVZ,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,24,48,40,53,70,45,355,3244,52,62,48,23,45,123,60,56,72,NA,NA,NA,70,61,71,33233,2,1,1,donald trump,4,3,2,english,1.5,0.5,1.5,2.5,1.5,1.5,-1.5,2.5,1.25,2,-2,-2,3,-3,2,3,0.42857142857142855,0,82,60,72,67,4,2,2,2,-4,1,1.1666666666666667,5,27869,0,3,1,12,24,48,45,355,3244,23,45,123,175,117
77,4,1,599,12,0,6,8,11,28,young,A1QS9XMNC5TGML,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301,9197,68211,32,51,82,1301,9197,68211,24,40,53,150,5102,12692,28,47,61,NA,NA,NA,54,76,47,89142,1,1,1,donald trump,5,5,2,English,0.5,0.5,1.5,1.5,1.5,1.5,-2.5,1.5,0.75,2,-1,-3,1,-2,3,2,0.2857142857142857,0,74,43,60,32,1,1,2,4,-1,4,1.8333333333333333,6,91000,0,3,1,1301,9197,68211,1301,9197,68211,150,5102,12692,175,117
71,4,1,691,12,0,6,10,12,31,middle,AT60ESWGVSAG9,ta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419000,470000,550000,70,70,70,420000,490000,550000,73,76,72,14000,15000,17000,64,72,69,NA,NA,NA,65,51,78,94596,2,1,1,Donald Trump,6,6,1,English,1.5,0.5,1.5,1.5,0.5,1.5,0.5,0.5,1,1,1,3,-3,-1,-2,3,0.2857142857142857,1,72,28,66,65,1,1,0,1,-1,0,0.3333333333333333,5,30000,0,1,1,419000,470000,550000,420000,490000,550000,14000,15000,17000,175,117
