StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q152_First Click,Q152_Last Click,Q152_Page Submit,Q152_Click Count,Q3,Q153_First Click,Q153_Last Click,Q153_Page Submit,Q153_Click Count,Q154_First Click,Q154_Last Click,Q154_Page Submit,Q154_Click Count,Q252_1,Q252_2,Q252_3,Q253_1,Q253_2,Q253_3,Q255_1,Q255_2,Q255_3,Q256_1,Q256_2,Q256_3,Q257_2,Q257_3,Q257_4,Q258_1,Q258_2,Q258_3,Q156_First Click,Q156_Last Click,Q156_Page Submit,Q156_Click Count,MTurk_ID,Age,Gender,Gender_4_TEXT,Zip_Code,Q129,Ed_Level,Ed_Level_Mom,Q165,Q166,Q158_First Click,Q158_Last Click,Q158_Page Submit,Q158_Click Count,health_stat_age_1,general_health_1,gen_anxiety_1,depression_1,Q159_First Click,Q159_Last Click,Q159_Page Submit,Q159_Click Count,Conserv_scale_1,Conserv_scale_2,Conserv_scale_3,Conserv_scale_4,Conserv_scale_5,Conserv_scale_6,Conserv_scale_7,Q160_First Click,Q160_Last Click,Q160_Page Submit,Q160_Click Count,Numeracy_1,Numeracy_2,Numeracy_3,Numeracy_4,Q124_1,Q125_1,Q126_1,Q127_1,Q161_First Click,Q161_Last Click,Q161_Page Submit,Q161_Click Count,Q122_1,Q122_2,Q122_3,Q122_4,Q122_5,Q122_6,Q122_7,Q162_First Click,Q162_Last Click,Q162_Page Submit,Q162_Click Count,know_someone,prob_of_contract_1,Q133_1,Q132_1,corona_news_1,corona_anxious_1,past_social_iso_1,futur_social_iso_1,Q167_1,Q168,Q163_First Click,Q163_Last Click,Q163_Page Submit,Q163_Click Count,Q177_First Click,Q177_Last Click,Q177_Page Submit,Q177_Click Count,news,income_down_1,essential_worker,optimism_1,trump_approval_1,Q164_First Click,Q164_Last Click,Q164_Page Submit,Q164_Click Count,Effort_1,Q41,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you understand the information above and consent to participate in the experiment?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please indicate the total number confirmed cases you expect in the United States after this article was written (e.g., X cases after 3 days). - predicted number of confirmed cases in 3 days","Please indicate the total number confirmed cases you expect in the United States after this article was written (e.g., X cases after 3 days). - predicted number of confirmed cases in 6 days","Please indicate the total number confirmed cases you expect in the United States after this article was written (e.g., X cases after 3 days). - predicted number of confirmed cases in 9 days",How confident are you in the predictions you made above? - 3 days,How confident are you in the predictions you made above? - 6 days,How confident are you in the predictions you made above? - 9 days,"Please indicate the total number actual cases you expect in the United States after this article was written (e.g., X cases after 3 days). - predicted number of actual cases in 3 days","Please indicate the total number actual cases you expect in the United States after this article was written (e.g., X cases after 3 days). - predicted number of actual cases in 6 days","Please indicate the total number actual cases you expect in the United States after this article was written (e.g., X cases after 3 days). - predicted number of actual cases in 9 days",How confident are you in the predictions you made above? - 3 days,How confident are you in the predictions you made above? - 6 days,How confident are you in the predictions you made above? - 9 days,"Please indicate the total number deaths from COVID-19 you expect in the United States after this article was written (e.g., X deaths after 3 days) - predicted numbers of deaths in 3 days","Please indicate the total number deaths from COVID-19 you expect in the United States after this article was written (e.g., X deaths after 3 days) - predicted numbers of deaths in 6 days","Please indicate the total number deaths from COVID-19 you expect in the United States after this article was written (e.g., X deaths after 3 days) - predicted numbers of deaths in 9 days",How confident are you in the predictions you made above? - 3 days,How confident are you in the predictions you made above? - 6 days,How confident are you in the predictions you made above? - 9 days,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,MTurk Worker ID,Age,Gender - Selected Choice,Gender - Other - Text,Please enter your current zip code:,Who is the current president of the United States?,What is your highest level of education?,What is your mother's highest level of education?,At what age did you begin learning English?,What language do you use most often at home?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you compare your general health status compared to that of others your own age?,How would you rate your general health status?,"Over the last 2 weeks, how often have you been feeling nervous, anxious, or on edge?","Over the last 2 weeks, how often have you been feeling down, depressed, or hopeless?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - I am politically more liberal than conservative.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - In any election, given a choice between a Republican and a Democratic candidate, I will select the Republican over the Democrat.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - Communism has been proven to be a failed political ideology.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - I cannot see myself ever voting to elect conservative candidates.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - The major national media are too left-wing for my taste.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - Socialism has many advantages over capitalism.","Please use the following scale to indicate the degree of your agreement or disagreement with each of the statements below. Try to describe your
attitudes accurately and generally. - On balance, I lean politically more to the left than to the right.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Rate the following on a scale of 1 (not at all good) to 6 (extremely good). - How good are you at working with fractions?,Rate the following on a scale of 1 (not at all good) to 6 (extremely good). - How good are you at working with percentages?,Rate the following on a scale of 1 (not at all good) to 6 (extremely good). - How good are you at calculating a 15% tip?,Rate the following on a scale of 1 (not at all good) to 6 (extremely good). - How good are you at figuring out how much a shirt will cost if it is 25% off?,"When reading the newspaper, how helpful do you find tables
and graphs that are parts of a story?","When people tell you the chance of something happening, do
you prefer that they use words (‘‘it rarely happens’’) or
numbers (‘‘there’s a 1% chance’’)?","When you hear a weather forecast, do you prefer predictions
using percentages (e.g., ‘‘there will be a 20% chance of rain
today’’) or predictions using only words (e.g., ‘‘there is a
small chance of rain today’’)?",How often do you find numerical information to be useful?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I do not feel comfortable about taking chances.,Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I prefer situations that have foreseeable outcomes.,"Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - Before I make a decision, I like to be absolutely sure how things will turn out.",Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I avoid situations that have uncertain outcomes.,Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I feel comfortable improvising in new situations.,Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - I feel nervous when I have to make decisions in uncertain situations.,"Please rate how much you agree with the following statements on a scale of 1 (Strongly Agree) to 7 (Strongly Disagree). - For this question, select 6",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you personally know someone who has/had the novel coronavirus?,Estimate the probability that you will have contracted the illness within 9 days (0-100%),Estimate the probability that you will have been hospitalized because of the illness within 9 days (0-100%),Estimate the probability that you will have died from the illness within 9 days (0-100%),How closely have you been following the news on the coronavirus?,How anxious are you about the current virus situation?,How successful have you been in engaging in social isolation?,How successful will you be at engaging in social isolation in the next week?,Estimate how much time will pass before we can stop social distancing.,Estimate the maximum number of new cases/day that will be reported in the US.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which of the following is your preferred news source?,To what extent has your household income decreased due to the coronavirus?,Are you an essential worker who will continue working during stay-at-home orders?,"How much do you agree with the following statement: ""Overall, I expect more good things to happen to me than bad""",Do you approve or disapprove of the way Donald Trump is handling his job as president?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"On a scale of 1 to 10, how much effort did you put into this study? (You will be compensated regardless of your response)","Thank you for participating in the study. 

Your MTurk Completion Code is: [Field-Random%20ID]

 

Copy this value to paste into MTurk. When you have copied this ID, please click the next button to submit your survey.",Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID268_FIRST_CLICK""}","{""ImportId"":""QID268_LAST_CLICK""}","{""ImportId"":""QID268_PAGE_SUBMIT""}","{""ImportId"":""QID268_CLICK_COUNT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID269_FIRST_CLICK""}","{""ImportId"":""QID269_LAST_CLICK""}","{""ImportId"":""QID269_PAGE_SUBMIT""}","{""ImportId"":""QID269_CLICK_COUNT""}","{""ImportId"":""QID270_FIRST_CLICK""}","{""ImportId"":""QID270_LAST_CLICK""}","{""ImportId"":""QID270_PAGE_SUBMIT""}","{""ImportId"":""QID270_CLICK_COUNT""}","{""ImportId"":""QID252_1""}","{""ImportId"":""QID252_2""}","{""ImportId"":""QID252_3""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID253_2""}","{""ImportId"":""QID253_3""}","{""ImportId"":""QID255_1""}","{""ImportId"":""QID255_2""}","{""ImportId"":""QID255_3""}","{""ImportId"":""QID256_1""}","{""ImportId"":""QID256_2""}","{""ImportId"":""QID256_3""}","{""ImportId"":""QID257_2""}","{""ImportId"":""QID257_3""}","{""ImportId"":""QID257_4""}","{""ImportId"":""QID258_1""}","{""ImportId"":""QID258_2""}","{""ImportId"":""QID258_3""}","{""ImportId"":""QID272_FIRST_CLICK""}","{""ImportId"":""QID272_LAST_CLICK""}","{""ImportId"":""QID272_PAGE_SUBMIT""}","{""ImportId"":""QID272_CLICK_COUNT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_4_TEXT""}","{""ImportId"":""QID217_TEXT""}","{""ImportId"":""QID245_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID227""}","{""ImportId"":""QID281_TEXT""}","{""ImportId"":""QID282_TEXT""}","{""ImportId"":""QID274_FIRST_CLICK""}","{""ImportId"":""QID274_LAST_CLICK""}","{""ImportId"":""QID274_PAGE_SUBMIT""}","{""ImportId"":""QID274_CLICK_COUNT""}","{""ImportId"":""QID221_1""}","{""ImportId"":""QID219_2""}","{""ImportId"":""QID229_1""}","{""ImportId"":""QID230_1""}","{""ImportId"":""QID275_FIRST_CLICK""}","{""ImportId"":""QID275_LAST_CLICK""}","{""ImportId"":""QID275_PAGE_SUBMIT""}","{""ImportId"":""QID275_CLICK_COUNT""}","{""ImportId"":""QID210_1""}","{""ImportId"":""QID210_4""}","{""ImportId"":""QID210_5""}","{""ImportId"":""QID210_6""}","{""ImportId"":""QID210_7""}","{""ImportId"":""QID210_12""}","{""ImportId"":""QID210_13""}","{""ImportId"":""QID276_FIRST_CLICK""}","{""ImportId"":""QID276_LAST_CLICK""}","{""ImportId"":""QID276_PAGE_SUBMIT""}","{""ImportId"":""QID276_CLICK_COUNT""}","{""ImportId"":""QID239_1""}","{""ImportId"":""QID239_2""}","{""ImportId"":""QID239_3""}","{""ImportId"":""QID239_4""}","{""ImportId"":""QID240_1""}","{""ImportId"":""QID241_1""}","{""ImportId"":""QID242_1""}","{""ImportId"":""QID243_1""}","{""ImportId"":""QID277_FIRST_CLICK""}","{""ImportId"":""QID277_LAST_CLICK""}","{""ImportId"":""QID277_PAGE_SUBMIT""}","{""ImportId"":""QID277_CLICK_COUNT""}","{""ImportId"":""QID238_1""}","{""ImportId"":""QID238_2""}","{""ImportId"":""QID238_3""}","{""ImportId"":""QID238_4""}","{""ImportId"":""QID238_5""}","{""ImportId"":""QID238_6""}","{""ImportId"":""QID238_8""}","{""ImportId"":""QID278_FIRST_CLICK""}","{""ImportId"":""QID278_LAST_CLICK""}","{""ImportId"":""QID278_PAGE_SUBMIT""}","{""ImportId"":""QID278_CLICK_COUNT""}","{""ImportId"":""QID223""}","{""ImportId"":""QID222_1""}","{""ImportId"":""QID249_1""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID231_1""}","{""ImportId"":""QID232_1""}","{""ImportId"":""QID233_1""}","{""ImportId"":""QID235_1""}","{""ImportId"":""QID283_1""}","{""ImportId"":""QID284_TEXT""}","{""ImportId"":""QID279_FIRST_CLICK""}","{""ImportId"":""QID279_LAST_CLICK""}","{""ImportId"":""QID279_PAGE_SUBMIT""}","{""ImportId"":""QID279_CLICK_COUNT""}","{""ImportId"":""QID293_FIRST_CLICK""}","{""ImportId"":""QID293_LAST_CLICK""}","{""ImportId"":""QID293_PAGE_SUBMIT""}","{""ImportId"":""QID293_CLICK_COUNT""}","{""ImportId"":""QID286""}","{""ImportId"":""QID289_1""}","{""ImportId"":""QID290""}","{""ImportId"":""QID291_1""}","{""ImportId"":""QID292_1""}","{""ImportId"":""QID280_FIRST_CLICK""}","{""ImportId"":""QID280_LAST_CLICK""}","{""ImportId"":""QID280_PAGE_SUBMIT""}","{""ImportId"":""QID280_CLICK_COUNT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID91""}","{""ImportId"":""Random ID""}"
2020-04-07 16:22:17,2020-04-07 16:25:48,0,24.6.174.173,100,210,1,2020-04-07 16:25:48,R_2uErjwjqwFjBvJv,,,,,37.30279541015625,-121.998199462890625,anonymous,EN,0,0,3.193,0,1,1.739,1.739,2.464,1,0,0,1.487,0,450000,600000,800000,73,71,74,900000,1200000,2000000,50,49,47,30000,60000,90000,62,48,34,16.223,66.706,67.448,15,A1ZE0MLGKWQLM8,25,1,,90020,trump,5,5,3,english,4.202,17.574,22.68,7,3,3,2,1,2.837,10.288,11.16,6,-4,4,-1,-4,4,-3,-4,3.855,17.354,18.133,7,5,6,5,6,6,6,1,6,2.721,15.416,16.199,10,6,3,2,2,2,2,6,2.123,10.381,11.415,8,2,5,0,0,52,81,96,97,7,20000,1.456,21.293,27.222,12,1.761,11.086,12.05,6,12,76,2,3,1,1.803,1.803,2.57,1,10,1,6311
2020-04-07 16:22:06,2020-04-07 16:25:48,0,184.98.83.15,100,221,1,2020-04-07 16:25:48,R_11bVIiUAUTm09Bx,,,,,33.5037994384765625,-112.025299072265625,anonymous,EN,0.814,0.814,3.218,1,1,1.635,1.635,2.398,1,0,0,4.753,0,500000,600000,700000,28,16,7,800000,900000,1000000,19,9,4,15000,20000,25000,21,11,6,16.006,83.895,84.983,16,A207IHY6GERCFO,37,2,,85053,Trump,5,5,0,English,1.469,13.317,16.221,8,1,1,1,1,2.566,6.79,7.518,4,4,-4,-4,4,-4,0,4,3.441,15.224,16.966,9,6,6,6,6,6,6,1,6,1.637,8.244,9.487,8,6,6,3,3,3,3,6,1.046,10.686,12.644,14,2,2,0,0,86,5,95,96,4,5000,1.192,23.153,29.479,13,3.365,12.245,12.958,5,10,0,1,3,2,1.768,1.768,2.389,1,8,1,1252
2020-04-07 16:22:30,2020-04-07 16:26:58,0,71.193.28.149,100,267,1,2020-04-07 16:26:59,R_XhNz3MXFKJz0rTz,,,,,38.4799041748046875,-121.445098876953125,anonymous,EN,0,0,2.631,0,1,0.732,1.808,2.298,3,0,0,2.421,0,500000,800000,1000000,68,100,65,500000,800000,1000000,43,99,57,20000,30000,60000,63,63,59,0.098,126.349,126.888,88,A2VTY63L3RN75V,38,2,,95831,Donald Trump,5,5,0,English,9.427,29.144,29.575,14,4,3,3,3,1.213,4.211,5.25,6,-2,3,1,-2,2,-1,-1,1.712,13.515,13.893,16,4,5,4,5,4,4,5,4,3.419,12.035,12.459,17,4,3,4,3,2,2,6,0.857,8.944,9.554,19,2,34,14,0,61,69,74,77,6,50000,1.807,26.884,27.455,25,1.196,15.398,16.089,20,1,69,2,2,1,0.99,2.193,2.718,2,9,1,4812
2020-04-07 16:22:04,2020-04-07 16:27:30,0,76.205.173.186,100,325,1,2020-04-07 16:27:30,R_1Qfixj5RYdgeENw,,,,,30.4031982421875,-97.75299835205078125,anonymous,EN,0,0,3.869,0,1,5.563,5.563,6.893,1,0,0,5.943,0,500000,650000,800000,82,66,55,650000,800000,1000000,80,63,51,20000,35000,55000,71,59,42,54.09,131.584,133.344,15,A1171IQSWQS0K8,41,1,,78759,Donald Trump,3,6,Birth,English and Spanish (bilingual),1.521,18.615,26.14,9,3,2,3,4,2.64,11.041,11.844,4,-4,4,-2,-3,4,-1,-3,2.973,21.055,22.098,8,5,6,5,6,6,6,6,6,2.639,18.786,20.069,8,6,6,5,5,5,5,6,3.713,14.334,15.846,7,2,29,15,6,84,67,94,97,7,60000,1.422,25.759,32.383,12,5.092,21.899,23.172,5,9,41,2,2,1,2.278,2.278,3.142,1,10,1,4514
2020-04-07 16:23:50,2020-04-07 16:28:45,0,107.12.20.18,100,294,1,2020-04-07 16:28:45,R_2TZvTGi6zcfNnAw,,,,,34.7769927978515625,-77.37689971923828125,anonymous,EN,0,0,13.772,0,1,2.455,2.455,3.377,1,0,0,7.665,0,1300,2200,3100,48,61,70,500,900,1200,64,55,48,400,600,800,60,70,78,5.891,95.387,96.972,20,AR2W2OCQVVMEY,31,2,,25486,Donald Trump,5,5,5,English,11.07,35.701,38.724,10,3,2,3,2,1.441,5.64,6.815,4,1,2,3,3,-2,1,2,1.441,17.243,18.284,13,4,5,6,5,4,5,6,5,1.579,9.267,10.402,10,4,5,6,8,6,5,6,1.771,6.841,9.081,9,1,87,81,89,82,76,87,82,4,200000,3.12,20.187,27.058,15,1.491,11.922,15.129,8,12,81,1,4,3,2.14,2.14,3.273,1,7,1,9061
2020-04-07 16:22:50,2020-04-07 16:28:47,0,104.180.12.247,100,357,1,2020-04-07 16:28:48,R_3GiYsRJnU8YBtXL,,,,,34.0648040771484375,-118.44139862060546875,anonymous,EN,0,0,2.882,0,1,2.238,2.238,2.936,1,0,0,3.057,0,500000,800000,1200000,50,40,30,800000,1500000,3000000,10,5,5,15000,20000,25000,20,10,5,0.977,116.415,117.438,44,AIOOOO5OXWXKM,30,2,,90038,Donald Trump,4,3,1,English,1.005,29.541,32.331,18,3,2,1,1,2.834,13.674,14.404,5,-4,4,-4,-4,4,-4,-4,3.739,30.828,32.932,13,2,4,4,5,6,6,1,6,3.109,19.152,20.496,10,2,1,1,2,4,4,6,3.28,39.104,41.861,9,2,1,1,1,100,10,100,100,7,1500000,2.088,51.158,52.251,17,2.123,18.441,19.742,6,12,50,1,4,1,2.14,2.307,3.637,2,10,1,4272
2020-04-07 16:22:29,2020-04-07 16:29:30,0,68.126.220.214,100,421,1,2020-04-07 16:29:31,R_4NNJqJid23kLI9H,,,,,33.8358001708984375,-117.9062957763671875,anonymous,EN,0,0,3.014,0,1,2.477,2.477,3.162,1,0,0,5.754,0,420000,450000,500000,93,80,75,410000,440000,470000,70,80,75,15000,18000,20000,100,90,100,1.266,210.614,212.436,24,A6HDSE80LQPR8,38,2,,92801,Trump,5,5,4,English,3.481,22.612,24.177,13,2,3,4,4,2.418,13.42,14.91,6,3,-4,4,4,-4,4,4,4.25,21.944,23.519,7,1,6,6,6,6,6,1,6,2.844,17.802,18.63,8,5,8,8,5,5,5,6,3.458,20.735,22.003,10,2,70,60,60,100,90,80,80,4,30000,2.621,36.963,48.41,12,2.591,25.511,26.235,8,10,10,1,3,1,3.171,3.171,4.993,1,10,1,8498
2020-04-07 16:26:57,2020-04-07 16:30:47,0,74.96.238.133,100,230,1,2020-04-07 16:30:48,R_vVOmWy9RXW9Ln8d,,,,,38.906402587890625,-77.12779998779296875,anonymous,EN,0,0,4.772,0,1,2.896,2.896,4.142,1,0,0,3.826,0,500000,55000,60000,51,52,52,500000,55000,575000,49,52,51,20000,23000,25000,33,43,49,35.691,86.203,87.867,14,A30US88GBGBG0V,45,2,,22203,Trump,5,5,2,English,5.057,26.156,28.65,6,4,3,2,4,0,0,3.96,0,2,1,2,1,2,0,0,0,0,7.191,0,5,2,3,3,4,3,4,3,0,0,5.039,0,4,3,2,2,3,2,6,0,0,6.756,0,1,7,10,15,23,4,5,8,4,15000,7.22,25.169,31.857,9,2.606,8.881,16.36,3,12,1,1,5,3,0,0,5.346,0,10,1,7914
